nodes,oai,dfs
10,0.018,0.059
10,0.017,0.065
10,0.017,0.069
11,0.021,0.229
11,0.022,0.07
12,0.017,0.07
12,0.017,0.066
14,0.018,0.082
15,0.022,0.101
18,0.017,0.209
20,0.018,0.112
22,0.021,0.123
23,0.018,0.325
25,0.017,0.126
30,0.022,0.159
31,0.017,0.276
31,0.017,0.25
35,0.019,0.187
35,0.017,0.291
36,0.03,0.324
38,0.018,0.327
38,0.041,0.388
41,0.018,0.519
46,0.018,0.227
50,0.019,0.447
53,0.027,0.467
53,0.025,0.27
59,0.019,0.287
60,0.019,0.601
63,0.331,0.42
64,0.017,0.436
66,0.018,0.434
72,0.134,0.481
73,0.028,0.375
75,0.022,0.506
76,0.02,0.723
86,0.02,0.411
98,0.025,0.71
100,0.023,0.483
128,0.02,0.878
135,0.018,0.765
152,0.024,1.508
158,0.018,0.961
162,0.021,1.134
181,0.021,1.298
202,0.017,1.183
214,0.018,1.286
229,0.017,1.358
239,0.02,1.676
252,0.021,3.288
282,0.02,3.468
310,0.017,1.924
327,0.025,1.99
333,0.016,1.957
340,0.017,2.026
376,0.017,2.253
399,0.017,2.311
412,0.019,2.687
491,0.018,4.085
496,0.02,3.849
508,0.018,3.627
509,0.02,3.404
540,0.043,9.282
565,0.019,4.663
602,0.018,3.537
608,0.019,3.533
619,0.017,3.543
633,0.021,3.666
671,0.018,3.81
688,0.036,4.841
693,0.018,4.151
749,0.017,4.263
751,0.018,4.24
789,0.047,5.553
824,0.022,6.327
849,0.018,6.736
972,0.018,5.679
975,0.018,5.607
1053,0.019,8.434
1083,0.019,6.429
1144,0.018,7.127
1156,0.018,6.63
1165,0.131,6.479
1279,0.017,7.449
1343,0.02,9.13
1486,0.018,8.756
1516,0.017,8.902
1516,0.021,9.009
1599,0.025,9.641
1755,0.021,11.873
1775,0.017,10.23
1809,0.019,10.206
2102,0.021,14.559
2141,0.023,13.758
2300,0.035,15.675
2341,0.017,13.565
2715,0.017,15.595
2865,0.018,16.646
3228,0.019,22.387
3287,0.018,19.058
4060,0.018,24.501
4075,0.018,25.434
4334,0.018,29.095
4476,0.019,26.502
4942,0.024,29.672
5703,0.018,34.352
5907,0.021,41.57
6511,0.018,37.644
6622,0.019,44.377
6732,0.017,45.297
7728,0.018,49.84
7886,0.019,47.742
8334,0.023,49.21
8488,0.019,61.509
8643,0.019,51.191
9209,0.025,62.902
9286,0.018,54.442
9610,0.022,55.438
10080,0.017,60.275
10121,0.02,74.739
10191,0.018,64.103
10773,0.018,71.143
10904,0.021,63.624
11469,0.017,69.724
12578,0.018,88.555
13185,0.018,76.832
13553,0.021,80.561
13671,0.022,131.589
13833,0.021,83.333
13926,0.02,88.863
14548,0.018,85.419
15334,0.018,99.795
15336,0.017,91.033
16429,0.257,113.773
16832,0.018,111.226
17280,0.019,183.502
17428,0.018,141.182
17623,0.019,103.265
17941,0.018,126.651
18450,0.02,120.699
18866,0.021,190.954
19735,0.018,134.057
20709,0.018,120.981
21457,0.018,151.127
23282,0.029,177.8
23860,0.174,142.864
23968,0.017,144.079
25324,0.116,150.788
27490,0.018,168.427
27551,0.017,165.919
28369,0.018,187.459
29472,0.019,185.096
30183,0.017,206.758
32390,0.112,200.626
32505,0.018,202.015
33052,0.018,207.319
34294,0.018,221.832
34620,0.017,216.872
35793,0.032,231.3
36815,0.023,271.034
37317,0.02,223.976
39078,0.025,392.047
39130,0.021,235.986
39332,0.022,286.903
39518,0.026,265.483
40862,0.017,263.543
40992,0.025,248.733
41021,0.022,283.032
42112,0.018,261.184
42330,0.019,265.635
43658,0.023,271.352
43899,0.021,264.519
45155,0.018,278.941
46993,0.038,294.453
48152,0.023,295.838
48746,0.023,358.12
48800,0.018,359.299
