nodes,oai,dfs
3381,49.69,22.938
3507,2.245,27.104
3555,238.869,24.935
3575,1.017,22.268
3584,4.103,25.587
3604,0.408,21.542
3642,1.91,24.586
3706,2.169,24.623
3718,0.441,32.337
3832,55.134,26.421
4070,49.567,38.732
4139,3.155,27.278
4204,15.603,28.469
4245,7.774,29.329
4262,1.394,28.452
4673,79.742,41.026
4721,98.806,45.558
4734,1.527,31.43
4981,108.427,33.949
5019,119.781,35.185
5119,1.372,35.246
5306,3.966,37.743
5337,31.65,37.856
5766,2.912,43.213
5863,72.799,41.657
6046,6.289,80.159
6390,1.058,38.246
7033,17.112,47.895
7134,4.929,46.979
7135,211.403,52.086
7292,1.408,52.294
7355,10.89,54.254
7908,5.291,58.787
8156,9.874,57.172
8897,7.704,60.702
9093,3.484,58.496
9299,30.015,65.939
10887,29.206,106.605
10917,33.665,76.738
11519,11.993,90.689
11665,3.749,80.711
12649,3.737,87.402
12735,9.175,86.371
14109,90.239,115.219
15763,9.573,106.745
16801,98.611,115.85
18195,494.241,141.739
19171,356.956,130.896
19307,12.117,150.205
20919,7.223,144.754
21587,17.941,162.346
22411,18.1,219.622
27263,29.523,199.971
29252,39.459,210.23
34456,9.187,222.237
48793,64.694,339.591
72772,35.724,568.654
74381,77.705,518.174
80780,31.649,562.367
86570,29.515,629.335
94618,35.011,772.336
