nodes,oai,dfs
0,0.022,0.014
0,0.021,0.01
0,0.054,0.028
0,0.052,0.012
0,0.045,0.01
0,0.028,0.014
0,0.022,0.016
0,0.028,0.016
0,0.025,0.013
0,0.046,0.013
0,0.054,0.011
0,0.025,0.012
0,0.039,0.01
0,0.051,0.014
0,0.024,0.01
0,0.058,0.011
0,0.031,0.014
0,0.037,0.01
0,0.021,0.009
0,0.067,0.01
0,0.041,0.009
0,0.024,0.028
0,0.101,0.035
0,0.021,0.012
0,0.026,0.012
1,0.204,0.022
1,0.039,0.034
1,0.043,0.025
1,0.271,0.016
1,0.023,0.018
1,0.349,0.02
1,0.055,0.022
1,0.061,0.018
1,0.622,0.018
2,0.025,0.023
2,0.162,0.029
2,0.061,0.029
2,0.05,0.03
2,1.297,0.034
3,2.842,0.029
3,0.025,0.028
3,0.02,0.027
4,0.048,0.04
4,1.636,0.05
4,0.023,0.033
5,0.041,0.051
6,0.084,0.05
6,0.025,0.049
6,0.358,0.053
7,0.044,0.064
7,0.045,0.066
7,0.269,0.2
8,0.385,0.094
8,0.392,0.063
8,0.338,0.07
9,0.128,0.068
9,0.024,0.061
9,0.028,0.074
11,0.333,0.08
12,0.021,0.196
13,9.05,0.096
13,1.694,0.105
14,0.085,0.108
15,14.082,0.224
15,0.073,0.193
16,0.066,0.121
16,0.027,0.111
16,3.286,0.126
17,0.154,0.216
17,0.414,0.134
17,0.03,0.258
19,0.025,0.251
19,0.971,0.157
20,0.033,0.318
21,0.437,0.146
22,0.027,0.261
22,34.157,0.26
22,0.511,0.165
23,0.13,0.153
28,0.45,0.195
31,0.25,0.319
32,1.702,0.212
33,0.477,0.3
34,1.89,0.444
35,0.027,0.211
36,2.444,0.236
37,0.062,0.362
38,0.709,0.273
39,0.024,0.226
41,0.024,0.23
43,1.128,0.28
47,0.814,0.323
47,0.03,0.305
51,13.225,0.433
51,0.387,0.351
51,0.457,0.315
61,0.226,0.418
63,2.098,1.248
64,9.898,0.423
64,0.066,0.526
66,1.351,0.68
70,4.031,0.572
70,0.211,0.417
76,0.863,0.587
77,0.069,0.549
78,2.916,0.628
80,0.557,0.626
81,0.031,0.551
81,0.311,0.604
88,0.123,0.717
92,4.449,0.556
93,0.033,0.686
101,5.658,0.978
106,0.04,0.782
108,13.281,0.813
108,0.043,0.795
112,0.872,0.835
114,0.204,0.717
125,0.033,0.769
126,0.096,1.552
127,0.27,0.903
129,0.081,0.967
131,20.473,1.901
134,2.318,0.939
139,5.397,0.986
142,6.223,1.139
142,0.521,0.989
143,7.406,1.059
150,1.178,1.056
158,0.152,1.152
171,0.16,3.12
171,0.094,1.383
178,2.092,1.319
179,8.821,1.137
182,3.343,1.223
189,55.798,1.401
191,0.581,1.421
204,0.153,1.302
216,0.039,1.537
217,1.526,1.614
224,0.534,1.566
232,0.102,1.608
236,3.203,1.693
239,0.043,1.61
251,0.054,1.633
263,0.045,1.856
266,0.457,1.823
268,3.342,1.992
271,1.913,1.91
278,1.526,2.315
289,30.62,2.302
293,3.398,1.923
296,3.888,2.112
300,0.028,1.834
304,0.061,2.177
307,0.761,2.06
315,0.276,2.074
338,0.049,2.215
376,1.267,2.639
387,12.361,2.799
401,0.213,2.632
423,1.759,2.735
431,4.299,3.233
448,0.176,3.007
453,2.141,3.253
508,1.388,3.714
547,0.824,3.716
554,0.28,3.87
566,11.969,3.884
573,28.75,4.14
610,32.896,4.323
620,17.415,4.307
624,0.111,4.045
645,124.844,4.781
682,7.433,4.784
725,19.506,5.117
735,0.532,5.071
757,0.254,5.399
853,0.089,5.859
880,0.401,6.25
895,0.329,7.367
904,8.076,6.066
904,8.567,6.26
906,3.025,6.015
921,1.481,6.347
923,8.089,6.263
937,0.349,6.884
966,1.474,10.998
980,3.162,7.151
1019,0.112,7.211
1042,0.491,6.942
1232,146.749,8.361
1315,0.336,8.403
1438,0.478,9.079
1478,1.306,9.608
1547,2.494,12.285
1617,1.759,11.557
1809,50.322,12.679
1836,9.587,13.19
1889,0.716,13.07
2063,14.808,13.945
2124,0.347,19.964
2153,130.327,14.58
2193,2.964,14.957
2221,32.627,18.498
2500,4.984,16.727
2691,3.396,19.013
2726,1.025,20.29
2854,45.267,19.127
2985,0.846,21.444
3093,4.714,20.894
3117,1.298,22.408
