nodes,ailabel,dfs
52.00,13.28,0.34
253.00,7.19,1.50
334.00,4.31,2.05
611.00,14.80,4.25
687.00,10.86,4.32
813.00,1.48,6.25
855.00,10.46,5.24
"1,369.00",12.79,10.53
"1,987.00",2.97,14.13
"2,915.00",4.67,21.09
"2,938.00",12.00,19.60
"3,910.00",6.11,25.57
"4,156.00",9.68,28.83
"4,425.00",51.41,32.52
"4,583.00",22.43,35.38
"4,650.00",33.99,34.87
"5,094.00",8.31,35.33
"5,764.00",24.98,43.03
"6,656.00",18.08,47.51
"6,965.00",30.90,89.91
"7,545.00",19.20,52.68
"10,510.00",20.54,71.92
"13,424.00",17.84,97.40
"13,706.00",8.53,106.17
"16,780.00",18.57,125.43
"20,880.00",10.92,136.57
"21,331.00",16.74,150.60
"23,515.00",82.49,180.09
"24,889.00",26.65,177.82
"29,520.00",24.45,248.66
"32,582.00",22.94,242.93
"35,633.00",18.17,335.43
"36,915.00",11.53,273.06
"55,523.00",21.54,423.10
"63,911.00",43.34,461.27
"96,428.00",17.41,699.77
"102,017.00",46.67,756.94
"119,175.00",99.70,875.78
"180,289.00",47.16,"1,389.91"
"240,366.00",37.43,"1,771.83"
"274,623.00",221.83,"2,559.69"
"362,751.00",68.32,"2,621.30"
"644,035.00",76.73,"5,113.66"
"2,689,044.00",489.62,"25,788.05"
"20,773,575.00",917.58,"188,032.15"
